Model,Scenario,Region,Variable,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
REMIND 3.0,GP_CurPol_T45,World,Capacity|Liquids|Biomass,GW,42.0573,85.5282,124.6402,136.944,177.4368,265.025,360.5579,428.8833,482.5194,522.7907,,605.9656,,723.4703,,921.2891,,1170.9525
REMIND 3.0,GP_CurPol_T45,World,Capacity|Electricity|Wind,GW,399.1809,731.6616,1145.4047,1730.5374,2445.4137,3167.0323,3937.6576,4809.6752,5785.125,6827.2913,,9406.9125,,11651.2612,,13596.3334,,15076.4156
REMIND 3.0,GP_CurPol_T45,World,Capacity|Electricity|Nuclear,GW,427.7117,447.9518,454.4123,463.9589,477.6535,482.2633,476.0207,462.2505,442.8462,421.3291,,369.7008,,277.3597,,175.5368,,88.5012
REMIND 3.0,GP_CurPol_T45,World,Capacity|Electricity|Biomass,GW,83.0931,104.5756,124.6145,146.6026,152.5448,142.5253,125.3129,106.136,87.8505,69.4252,,40.1092,,25.0962,,23.3536,,19.0912
REMIND 3.0,GP_CurPol_T45,World,Capacity|Liquids|Coal,GW,1.2397,1.3346,4.6459,18.5532,55.4562,133.1962,270.0975,470.8252,713.7626,958.2333,,1286.5089,,1382.7406,,1300.2071,,1122.8115
REMIND 3.0,GP_CurPol_T45,World,Capacity|Electricity|Solar,GW,211.4062,715.3185,1818.4457,3619.6542,5545.6456,7234.5194,8701.3868,10010.3595,11373.9209,12793.486,,16030.3035,,20162.2682,,24283.5803,,28544.5717
REMIND 3.0,GP_CurPol_T45,World,Capacity|Electricity|Oil,GW,368.791,265.3532,165.5513,58.0407,0.0012,0.0012,0.0012,0.0012,0.0013,0.0012,,0.0012,,0.0012,,0.0012,,0.0009
REMIND 3.0,GP_CurPol_T45,World,Capacity|Electricity|Hydro,GW,1172.6322,1396.0001,1538.1284,1645.9834,1726.8437,1783.5087,1820.2149,1842.1287,1853.7592,1859.0123,,1854.6217,,1842.1987,,1846.71,,1830.3413
REMIND 3.0,GP_CurPol_T45,World,Capacity|Electricity|Gas,GW,1387.905,1178.5289,1260.3606,1478.1659,1691.646,1785.1304,1777.9699,1718.5821,1615.6615,1456.7452,,953.8727,,476.4845,,167.2832,,62.5088
REMIND 3.0,GP_CurPol_T45,World,Capacity|Electricity|Geothermal,GW,18.6837,32.0295,45.5117,52.9107,54.4901,54.2211,54.4894,54.2701,53.4005,52.9506,,51.4769,,48.0406,,41.4127,,43.1132
REMIND 3.0,GP_CurPol_T45,World,Capacity|Liquids|Oil,GW,4637.1444,5030.2811,5313.278,5446.239,5330.05,4967.8157,4403.4779,3930.604,3448.5124,3077.2902,,2539.7309,,2249.9699,,2043.0624,,1891.0156
REMIND 3.0,GP_CurPol_T45,World,Capacity|Electricity|Coal,GW,1752.184,1853.1049,1678.4945,1612.4212,1473.5319,1228.4054,947.8815,684.0935,413.9895,262.4622,,87.6332,,40.2629,,8.6608,,0.0391
REMIND 3.0,GP_CurPol_T45,World,Capacity|Electricity|Other,GW,0,24.1985,69.5111,173.1615,376.796,583.4849,759.939,907.7173,1048.6688,1197.8889,,1562.8954,,1992.0763,,2372.3395,,2706.7268
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Liquids|Biomass,GW,14.7468,29.4865,43.2846,42.9223,46.228,57.9146,71.664,77.5381,78.4165,78.6116,,93.0635,,107.7578,,126.7737,,158.0672
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Electricity|Wind,GW,68.9444,123.6312,225.9069,381.9263,530.9487,641.5483,742.5125,814.8254,855.0656,886.0986,,973.9567,,988.1855,,1039.069,,1105.4964
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Electricity|Nuclear,GW,116.8207,109.5142,98.8092,85.8906,71.3316,55.0161,39.3104,25.3453,13.8212,5.6068,,0.9178,,0.2091,,0.0031,,0
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Electricity|Biomass,GW,15.9714,15.9527,15.2151,13.9373,11.8965,8.8302,4.9692,1.8808,0.4801,0.1826,,0.0003,,0.0003,,0.0003,,0.0002
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Liquids|Coal,GW,0.0057,0.0058,0.0057,0.0055,0.0051,0.0043,0.0089,0.0129,0.0119,0.0119,,0.0119,,0.0087,,0.0024,,0.0016
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Electricity|Solar,GW,22.2699,80.1021,255.9025,628.5078,969.1353,1181.1775,1343.3935,1429.5284,1466.6957,1458.4046,,1476.6865,,1618.9859,,1727.3861,,1869.8147
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Electricity|Oil,GW,39.6656,26.9355,15.7376,5.069,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,,0.0001,,0.0001,,0.0001
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Electricity|Hydro,GW,96.9125,102.9447,110.1172,116.421,120.5786,122.4183,122.578,121.6528,120.2282,118.7726,,116.421,,115.1123,,115.0968,,114.8409
